"user_id;""email"";""marketing_optin"";""chain_id"";""is_recurrence"";""is_all_user"""
"9000000;""dummy1912@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000001;""dummy65905@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000002;""dummy54669@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000003;""dummy8130@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000004;""dummy45738@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000005;""dummy28595@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000006;""dummy67557@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000007;""dummy49362@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000008;""dummy21535@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000009;""dummy80980@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000010;""dummy35237@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000011;""dummy92872@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000012;""dummy86010@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000013;""dummy68924@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000014;""dummy95879@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000015;""dummy97454@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000016;""dummy62058@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000017;""dummy96249@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000018;""dummy8792@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000019;""dummy29837@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000020;""dummy13124@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000021;""dummy57585@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000022;""dummy41681@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000023;""dummy43566@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000024;""dummy98705@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000025;""dummy62692@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000026;""dummy25719@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000027;""dummy11491@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000028;""dummy6282@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000029;""dummy92420@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000030;""dummy8497@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000031;""dummy50440@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000032;""dummy69539@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000033;""dummy5822@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000034;""dummy58498@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000035;""dummy39820@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000036;""dummy80821@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000037;""dummy78051@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000038;""dummy60411@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000039;""dummy37788@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000040;""dummy92088@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000041;""dummy2833@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000042;""dummy92237@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000043;""dummy87309@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000044;""dummy60364@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000045;""dummy50927@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000046;""dummy53506@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000047;""dummy46618@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000048;""dummy89252@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000049;""dummy14240@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000050;""dummy46564@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000051;""dummy44619@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000052;""dummy82326@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000053;""dummy29347@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000054;""dummy35757@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000055;""dummy92398@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000056;""dummy34098@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000057;""dummy24781@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000058;""dummy35075@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000059;""dummy34708@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000060;""dummy66222@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000061;""dummy19728@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000062;""dummy72846@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000063;""dummy28125@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000064;""dummy52640@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000065;""dummy72109@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000066;""dummy28032@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000067;""dummy81048@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000068;""dummy81453@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000069;""dummy76453@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000070;""dummy11665@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000071;""dummy77637@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000072;""dummy46532@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000073;""dummy64644@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000074;""dummy91845@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000075;""dummy88301@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000076;""dummy15974@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000077;""dummy74007@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000078;""dummy5909@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000079;""dummy87452@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000080;""dummy40981@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000081;""dummy22957@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000082;""dummy9463@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000083;""dummy9371@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000084;""dummy28251@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000085;""dummy59145@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000086;""dummy29120@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000087;""dummy64180@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000088;""dummy23985@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000089;""dummy80705@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000090;""dummy50422@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000091;""dummy80957@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000092;""dummy98349@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000093;""dummy8914@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000094;""dummy91378@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000095;""dummy27349@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000096;""dummy64043@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000097;""dummy10951@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000098;""dummy74569@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000099;""dummy37638@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000100;""dummy79323@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000101;""dummy34843@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000102;""dummy92085@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000103;""dummy61429@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000104;""dummy34838@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000105;""dummy74318@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000106;""dummy32813@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000107;""dummy59087@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000108;""dummy84350@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000109;""dummy63610@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000110;""dummy52641@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000111;""dummy16539@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000112;""dummy70635@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000113;""dummy92116@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000114;""dummy99419@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000115;""dummy70531@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000116;""dummy35350@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000117;""dummy45872@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000118;""dummy86702@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000119;""dummy63032@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000120;""dummy50689@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000121;""dummy86315@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000122;""dummy59329@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000123;""dummy24182@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000124;""dummy57087@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000125;""dummy45945@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000126;""dummy3738@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000127;""dummy32974@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000128;""dummy72772@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000129;""dummy44771@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000130;""dummy33415@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000131;""dummy27287@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000132;""dummy55092@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000133;""dummy32052@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000134;""dummy97459@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000135;""dummy32593@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000136;""dummy20728@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000137;""dummy90967@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000138;""dummy29994@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000139;""dummy15004@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000140;""dummy76722@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000141;""dummy57219@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000142;""dummy41744@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000143;""dummy71772@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000144;""dummy174@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000145;""dummy45020@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000146;""dummy46397@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000147;""dummy85501@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000148;""dummy7297@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000149;""dummy92136@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000150;""dummy66201@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000151;""dummy55278@slickeats.com"";""false"";""17"";""yes"";""yes"""
"9000152;""dummy45699@slickeats.com"";""false"";""17"";""yes"";""yes"""
